ts,ts,ax,ay,az,gx,gy,gz,mx,my,mz
2021-05-27 15:40:49.662078976+09:00,1622097649662.0789,3.945652173913044,-2.9891304347826084,9.434782608695652,0.8569465648854958,16.050229007633586,9.782748091603052,-0.1064467766116941,0.3718140929535232,-0.3868065967016492
2021-05-27 15:40:49.672027648+09:00,1622097649672.0276,3.6630434782608696,-2.6739130434782608,9.66304347826087,1.437099236641221,16.17236641221374,8.912519083969466,-0.08095952023988,0.3733133433283358,-0.3913043478260869
2021-05-27 15:40:49.682006784+09:00,1622097649682.0068,3.467391304347826,-2.891304347826087,9.48913043478261,4.826412213740458,16.202900763358777,8.50030534351145,-0.0944527736131934,0.3793103448275862,-0.376311844077961
2021-05-27 15:40:49.691986176+09:00,1622097649691.986,3.108695652173913,-2.7717391304347827,9.467391304347826,7.345496183206106,14.905190839694656,9.15679389312977,-0.0944527736131934,0.3718140929535232,-0.3748125937031484
2021-05-27 15:40:49.701965056+09:00,1622097649701.965,2.902173913043478,-2.630434782608696,9.67391304347826,2.3989312977099235,9.775419847328244,3.2941984732824428,-0.0929535232383808,0.3793103448275862,-0.3883058470764617
2021-05-27 15:40:49.711944704+09:00,1622097649711.9446,3.0760869565217392,-2.5,9.83695652173913,-0.1659541984732826,9.31740458015267,3.5690076335877863,-0.0944527736131934,0.368815592203898,-0.3913043478260869
2021-05-27 15:40:49.721923840+09:00,1622097649721.9238,3.2391304347826084,-2.6739130434782608,9.67391304347826,1.0248854961832057,7.256335877862595,2.6224427480916037,-0.0974512743628185,0.3778110944527736,-0.3883058470764617
2021-05-27 15:40:49.731902976+09:00,1622097649731.903,3.217391304347826,-2.652173913043478,9.706521739130434,-0.593435114503817,5.164732824427481,2.1033587786259544,-0.0974512743628185,0.3823088455772114,-0.3943028485757121
2021-05-27 15:40:49.741882368+09:00,1622097649741.8823,3.260869565217391,-2.760869565217391,9.608695652173912,-0.593435114503817,3.699083969465649,1.2331297709923663,-0.0989505247376311,0.3748125937031484,-0.3913043478260869
2021-05-27 15:40:49.751861504+09:00,1622097649751.8616,3.282608695652174,-2.782608695652174,9.608695652173912,-0.1812213740458017,3.531145038167939,1.0346564885496183,-0.0974512743628185,0.3703148425787106,-0.3883058470764617
2021-05-27 15:40:49.761840896+09:00,1622097649761.8408,3.3260869565217392,-2.608695652173913,9.565217391304348,-1.0667175572519083,3.2410687022900766,1.126259541984733,-0.0944527736131934,0.3778110944527736,-0.3928035982008995
2021-05-27 15:40:49.771820032+09:00,1622097649771.82,3.5,-2.510869565217391,9.48913043478261,-0.1964885496183208,3.85175572519084,1.859083969465649,-0.0929535232383808,0.3808095952023987,-0.3853073463268365
2021-05-27 15:40:49.781799424+09:00,1622097649781.7993,3.347826086956521,-2.6956521739130435,9.445652173913045,2.246259541984733,8.523511450381678,2.897251908396947,-0.1004497751124437,0.3808095952023987,-0.3988005997001499
